patch_num,patch_size,patch_id,patch_index,patch_location_x,patch_location_y,global_habitat_num,habitat_id,habitat_index,habitat_x_location,habitat_y_location,env_axis1,env_axis2,hab_length,hab_width
64,16,patch5,4,2.0,18.0,1024,h9,9,3,18,0.3369771982596856,0.2788764935501554,10,10
64,16,patch5,4,2.0,18.0,1024,h10,10,3,19,0.3537060254088956,0.2710713556653071,10,10
64,16,patch5,4,2.0,18.0,1024,h11,11,3,20,0.3319098950361721,0.2052061108537475,10,10
64,16,patch5,4,2.0,18.0,1024,h12,12,4,17,0.3636535587824668,0.2125313761630542,10,10
64,16,patch5,4,2.0,18.0,1024,h13,13,4,18,0.4221035022986613,0.2275981061096527,10,10
64,16,patch5,4,2.0,18.0,1024,h14,14,4,19,0.3062447493107999,0.251999510724178,10,10
64,16,patch5,4,2.0,18.0,1024,h15,15,4,20,0.3740284748224876,0.2236502115130075,10,10
64,16,patch6,5,2.0,22.0,1024,h0,0,1,21,0.2818921036825532,0.3041310623095332,10,10
64,16,patch6,5,2.0,22.0,1024,h1,1,1,22,0.2547800268106551,0.3840301434494615,10,10
64,16,patch6,5,2.0,22.0,1024,h2,2,1,23,0.325626856190038,0.432421137675857,10,10
64,16,patch6,5,2.0,22.0,1024,h3,3,1,24,0.3181053787347102,0.4999085702104068,10,10
64,16,patch6,5,2.0,22.0,1024,h4,4,2,21,0.3027229020049927,0.2960673255304838,10,10
64,16,patch6,5,2.0,22.0,1024,h5,5,2,22,0.2834293072027374,0.3829772272719024,10,10
64,16,patch6,5,2.0,22.0,1024,h6,6,2,23,0.2414626066759493,0.4024783678388458,10,10
64,16,patch6,5,2.0,22.0,1024,h7,7,2,24,0.2852297675772586,0.4519793512703426,10,10
64,16,patch6,5,2.0,22.0,1024,h8,8,3,21,0.2581281524398914,0.2790779409841407,10,10
64,16,patch6,5,2.0,22.0,1024,h9,9,3,22,0.2986509294895113,0.3244231713056741,10,10
64,16,patch6,5,2.0,22.0,1024,h10,10,3,23,0.2715651854737284,0.3454913375006437,10,10
64,16,patch6,5,2.0,22.0,1024,h11,11,3,24,0.2060987871717847,0.3700814803859159,10,10
64,16,patch6,5,2.0,22.0,1024,h12,12,4,21,0.3284518113890143,0.2645265254904251,10,10
64,16,patch6,5,2.0,22.0,1024,h13,13,4,22,0.2478509144771104,0.3339756653850159,10,10
64,16,patch6,5,2.0,22.0,1024,h14,14,4,23,0.3305256284460408,0.3776319596606873,10,10
64,16,patch6,5,2.0,22.0,1024,h15,15,4,24,0.2799126625733799,0.3885265057379006,10,10
64,16,patch7,6,2.0,26.0,1024,h0,0,1,25,0.2487319517283145,0.5232519245313721,10,10
64,16,patch7,6,2.0,26.0,1024,h1,1,1,26,0.2161892487425279,0.5233572504763784,10,10
64,16,patch7,6,2.0,26.0,1024,h2,2,1,27,0.2231191831164158,0.5295897460884621,10,10
64,16,patch7,6,2.0,26.0,1024,h3,3,1,28,0.1730328397353256,0.6150339380187821,10,10
64,16,patch7,6,2.0,26.0,1024,h4,4,2,25,0.2912088540611328,0.4856209053299311,10,10
64,16,patch7,6,2.0,26.0,1024,h5,5,2,26,0.2112133664736885,0.4527701697078919,10,10
64,16,patch7,6,2.0,26.0,1024,h6,6,2,27,0.2360740711461719,0.4764516852990466,10,10
64,16,patch7,6,2.0,26.0,1024,h7,7,2,28,0.2383773490783799,0.5655656982231028,10,10
64,16,patch7,6,2.0,26.0,1024,h8,8,3,25,0.2886088586253623,0.4410824089814843,10,10
64,16,patch7,6,2.0,26.0,1024,h9,9,3,26,0.2593135674252707,0.4344623306151302,10,10
64,16,patch7,6,2.0,26.0,1024,h10,10,3,27,0.2089160335940336,0.4884297001747518,10,10
64,16,patch7,6,2.0,26.0,1024,h11,11,3,28,0.1995997637856414,0.5873834049908104,10,10
64,16,patch7,6,2.0,26.0,1024,h12,12,4,25,0.2982393619829515,0.4336603617446056,10,10
64,16,patch7,6,2.0,26.0,1024,h13,13,4,26,0.3297159359188288,0.4643347120338933,10,10
64,16,patch7,6,2.0,26.0,1024,h14,14,4,27,0.3131009893353604,0.5106607485647356,10,10
64,16,patch7,6,2.0,26.0,1024,h15,15,4,28,0.2013170475696197,0.5648250695471758,10,10
64,16,patch8,7,2.0,30.0,1024,h0,0,1,29,0.1799168069582286,0.5873183868261604,10,10
64,16,patch8,7,2.0,30.0,1024,h1,1,1,30,0.2743527293400853,0.6014858644345404,10,10
64,16,patch8,7,2.0,30.0,1024,h2,2,1,31,0.1780514142115682,0.6356952555123244,10,10
64,16,patch8,7,2.0,30.0,1024,h3,3,1,32,0.2588131956103328,0.6493343722541149,10,10
64,16,patch8,7,2.0,30.0,1024,h4,4,2,29,0.1118029940548558,0.605399795316451,10,10
64,16,patch8,7,2.0,30.0,1024,h5,5,2,30,0.2032619334980388,0.6096539772362661,10,10
64,16,patch8,7,2.0,30.0,1024,h6,6,2,31,0.190637611346491,0.6568986263692712,10,10
64,16,patch8,7,2.0,30.0,1024,h7,7,2,32,0.2225639441361452,0.7016774311660442,10,10
64,16,patch8,7,2.0,30.0,1024,h8,8,3,29,0.1094741310585596,0.6637639375332435,10,10
64,16,patch8,7,2.0,30.0,1024,h9,9,3,30,0.1,0.6377151443433584,10,10
64,16,patch8,7,2.0,30.0,1024,h10,10,3,31,0.1202461521928268,0.6738293248404655,10,10
64,16,patch8,7,2.0,30.0,1024,h11,11,3,32,0.1943894310479035,0.7062711578324049,10,10
64,16,patch8,7,2.0,30.0,1024,h12,12,4,29,0.1789437374711482,0.6395030078936442,10,10
64,16,patch8,7,2.0,30.0,1024,h13,13,4,30,0.1938217987717481,0.6435441471869869,10,10
64,16,patch8,7,2.0,30.0,1024,h14,14,4,31,0.1287792038714241,0.7096268578845047,10,10
64,16,patch8,7,2.0,30.0,1024,h15,15,4,32,0.2152448484193624,0.7293268095257226,10,10
64,16,patch9,8,6.0,2.0,1024,h0,0,5,1,0.8155936094249665,0.2773366044964468,10,10
